USER	ITEM	SCORE
123	30457	1
123	14392	1
123	24220	1
123	18730	1
124	26236	3
124	31654	3
124	32901	1
124	38253	1
124	18288	1
124	17322	1
124	32572	1
124	10062	1
124	1472	1
124	43332	1
124	20705	1
124	11551	1
124	21086	1
124	28396	1
124	34761	1
125	36367	8
125	14318	8
125	5511	6
125	36529	5
125	43311	5
125	4546	4
125	12008	4
125	1196	3
125	41202	3
125	35242	3
125	14032	3
125	16191	3
125	38740	2
125	20955	2
125	40270	2
125	28148	2
125	1197	2
125	33856	2
125	3957	2
125	47	2
4700	20743	1
4700	5488	1
4700	32629	1
4700	41371	1
4700	26409	1
4700	11636	1
4700	42948	1
4700	27127	1
4700	1466	1
4700	17091	1
4700	25961	1
4700	39392	1
4700	11621	1
4700	26436	1
4700	4195	1
4700	11984	1
4700	32734	1
4700	15069	1
4700	20721	1
4700	38037	1
127	43390	17
127	21670	17
127	10140	11
127	20743	9
127	817	9
127	2447	8
127	19453	8
127	17081	7
127	3355	7
127	15783	7
127	138	7
127	17327	6
127	26631	5
127	12007	5
127	24249	5
127	36288	4
127	19268	4
127	36742	4
127	33937	4
127	35309	4
128	24930	3
128	22096	2
128	5038	2
128	34387	2
128	41777	2
